iter	MultiClass
0	0.8911467897
1	0.7781198561
2	0.6953071415
3	0.6328240715
4	0.5880136267
5	0.5528279012
6	0.5272073081
7	0.5051497551
8	0.4855336926
9	0.4652933976
10	0.4518197665
11	0.432636757
12	0.4217244022
13	0.4126338046
14	0.3995530011
15	0.3881375216
16	0.3808582738
17	0.3732229499
18	0.3672360741
19	0.3596475767
20	0.3539569986
21	0.3476640781
22	0.3422547261
23	0.3362497957
24	0.3289456187
25	0.3238312248
26	0.3201035008
27	0.3152675859
28	0.3099824504
29	0.3035655641
30	0.2994949329
31	0.2957750788
32	0.2904246259
33	0.2856482779
34	0.282309621
35	0.2779464807
36	0.2756766269
37	0.2704039012
38	0.266584998
39	0.2614950247
40	0.2594345725
41	0.2548235445
42	0.2500732177
43	0.2458425934
44	0.2431201818
45	0.2396417688
46	0.2381324517
47	0.23376106
48	0.2290776521
49	0.2273477148
50	0.2250691646
51	0.2217024878
52	0.2197604286
53	0.2174174527
54	0.2136557332
55	0.2110182492
56	0.2074659663
57	0.2048256998
58	0.2014075194
59	0.199365699
60	0.1974561978
61	0.19517067
62	0.1940693351
63	0.1923783827
64	0.1898958687
65	0.1873093036
66	0.1852900686
67	0.1834907977
68	0.181575555
69	0.1791557826
70	0.1778012196
71	0.1753626894
72	0.1731764915
73	0.1718110052
74	0.169262968
75	0.167787381
76	0.1649858062
77	0.1632531535
78	0.1609145244
79	0.1591810222
80	0.1568076451
81	0.155522303
82	0.1542122748
83	0.1526767713
84	0.150684114
85	0.1495207535
86	0.1476205525
87	0.1464695843
88	0.1451679855
89	0.1445776723
90	0.1425696967
91	0.1408471307
92	0.1401614479
93	0.1385659116
94	0.1377019642
95	0.1361044943
96	0.1346687059
97	0.1327681743
98	0.1321424182
99	0.130266794
100	0.1284775018
101	0.1268867407
102	0.1253877176
103	0.124492966
104	0.1234943389
105	0.1227768016
106	0.1218466234
107	0.1212835091
108	0.120356518
109	0.1190230524
110	0.1177478033
111	0.1171256249
112	0.116524521
113	0.1159172891
114	0.1142284195
115	0.1134275342
116	0.1120495192
117	0.1115535114
118	0.1108789649
119	0.1098691985
120	0.108719587
121	0.1079091851
122	0.1067958409
123	0.1061978683
124	0.1055937162
125	0.1048749459
126	0.1038221018
127	0.1030000761
128	0.1024292079
129	0.1016547224
130	0.1010918407
131	0.1003026453
132	0.09965750904
133	0.09883801305
134	0.09834224084
135	0.09779659444
136	0.09734176824
137	0.09647466265
138	0.09573973667
139	0.09510733489
140	0.09426408815
141	0.09378578071
142	0.0930683505
143	0.09248956734
144	0.09190289275
145	0.09139853282
146	0.09102226184
147	0.09039103689
148	0.09004102982
149	0.08947019574
150	0.08883048823
151	0.08809692505
152	0.08739707527
153	0.08727084523
154	0.0868902786
155	0.08615750957
156	0.08584907743
157	0.08553690435
158	0.08498981717
159	0.08452001117
160	0.08399260094
161	0.08383725202
162	0.08341625152
163	0.08287821446
164	0.08241037306
165	0.08202241697
166	0.08148517365
167	0.08089966322
168	0.08037212963
169	0.08000660009
170	0.07922604802
171	0.07882926928
172	0.07836103532
173	0.07774713913
174	0.07765718966
175	0.07726057779
176	0.07652570767
177	0.07589618249
178	0.07535526556
179	0.07487809386
180	0.07459489417
181	0.07392805365
182	0.07352824609
183	0.07277645393
184	0.0722697322
185	0.07212479094
186	0.07161926206
187	0.07134517833
188	0.07092846724
189	0.0706004573
190	0.07020751371
191	0.06978747463
192	0.06946193254
193	0.06925725726
194	0.06877124753
195	0.0683558481
196	0.06776929769
197	0.067172344
198	0.06660290148
199	0.066435919
200	0.06612019672
201	0.06566315246
202	0.06528811652
203	0.06498239427
204	0.06460589849
205	0.06425773262
206	0.06397845359
207	0.06347368787
208	0.06298078021
209	0.06267878009
210	0.06231289956
211	0.06201654666
212	0.06159023648
213	0.06140425716
214	0.06112973672
215	0.06089453444
216	0.06060077665
217	0.06020020446
218	0.05968462004
219	0.05938023038
220	0.05904004935
221	0.05875801818
222	0.05831567233
223	0.0579753739
224	0.05757471903
225	0.05741718181
226	0.05722198122
227	0.05698503863
228	0.05675861228
229	0.05655220846
230	0.05638892711
231	0.05597326284
232	0.05568570274
233	0.05547068094
234	0.05520758974
235	0.05494109567
236	0.05474105173
237	0.05450972753
238	0.05408096679
239	0.0538669618
240	0.05357920175
241	0.0533516948
242	0.05312313652
243	0.05280746168
244	0.05269360288
245	0.05245785445
246	0.05230996226
247	0.05193680977
248	0.0517457389
249	0.05151090508
