Price,Close,High,Low,Open,Volume
Ticker,INFY,INFY,INFY,INFY,INFY
Date,,,,,
2023-06-29,15.209393501281738,15.228525252201967,15.008514677879809,15.09460573251665,7992900
2023-06-30,15.37200927734375,15.553757256665406,15.324181725971588,15.467666204592208,12763900
2023-07-03,15.438968658447266,15.592019013030068,15.352877605931422,15.486798034569482,7111800
2023-07-05,15.553757667541504,15.65898047274484,15.429403111482253,15.448534862338166,13415500
2023-07-06,15.37200927734375,15.477232079767468,15.305049975621069,15.43896857906643,6464100
2023-07-07,15.352877616882324,15.477232170384639,15.305050065230137,15.305050065230137,5207600
2023-07-10,15.314616203308105,15.372009631176608,15.285918577121766,15.343313829494445,6775000
2023-07-11,15.534626960754395,15.572890465037878,15.448535900620865,15.553758712896135,7631500
2023-07-12,15.37200927734375,15.582454882191184,15.333747601146847,15.553757256665406,7102600
2023-07-13,16.06073760986328,16.11813103611029,15.859857881242561,15.859857881242561,13295300
2023-07-14,16.29987907409668,16.45292942765123,16.252049698295803,16.414665927010528,11539700
2023-07-17,16.53902244567871,16.558152373769015,16.29031513546125,16.309445063551554,12658400
2023-07-18,17.1033935546875,17.352100850414477,16.98860669481612,17.026868373271835,25346100
2023-07-19,16.94077491760254,17.170352253849696,16.87381562140711,17.036431836954858,21117700
2023-07-20,15.515493392944336,15.515493392944336,14.664150591810825,15.305049617524842,39518000
2023-07-21,15.592018127441406,15.754634348012447,15.391140232649908,15.486797154957115,15267400
2023-07-24,15.515493392944336,15.630282067857573,15.467665842691208,15.592018568051797,10331400
2023-07-25,15.668543815612793,15.72593906558686,15.525059339685825,15.525059339685825,7717900
2023-07-26,15.89812183380127,15.94594938628305,15.687676224071408,15.687676224071408,10006100
2023-07-27,15.907685279846191,16.051171580844198,15.888555354283351,15.917251154879667,11839800
2023-07-28,15.74506950378418,15.764201254398527,15.48679816850713,15.649414399720762,9072200
2023-07-31,15.936382293701172,16.02247334119628,15.878988870205779,15.898120619538922,6604000
2023-08-01,16.070301055908203,16.10856455496946,15.926816583436604,15.993775882289746,7462200
2023-08-02,15.80246639251709,15.878991578397137,15.716375330338991,15.821598145113189,11896400
2023-08-03,15.792898178100586,15.840725728005678,15.725938878431826,15.80246405298242,10134400
2023-08-04,15.984210968017578,16.14682719979143,15.917251665140842,15.955515166501357,7012200
2023-08-07,16.05117416381836,16.156395157110648,15.984213027808574,16.146829280537823,5533700
